Rating,Title,Full Comment,Upvotes,Downvotes,Date
10,AOT: The Greatest Anime I've Ever Seen,"Attack On Titan is officially over. And nothing will ever be the same.

When I finished Breaking Bad back in 2019 prior to ever watching anime, if someone told me an anime would be on the same playing field as Breaking Bad and even exceed it at times, I would've told them they were crazy. But in reality, I was the crazy one. This story took me places mentally and emotionally I didn't think I could go.

In this dark and cruel world created by Hajime Isayama, while some things are objectively wrong, there's never a moment where you can definitively say that someone's the good guy or bad guy. Once you see the full picture of the show, it's indescribable to explain the show in the manner of good and bad considering how much everyone's in this dark abyss of a gray area that has no objective answer to whom is in the right or wrong. And that's the beauty of AOT.

Attack On Titan is not meant to be joyous. It's a tragedy. It's an unfair world where everyone at some point is given a dirty hand whether they deserve it or not, and the characters have to try and live with that reality and keep moving forward. Now that doesn't mean that there aren't moments where you as a viewer can feel joyous for your perspective favorite character/side because there likely will be, but when you're no longer told the story through this small microscope, you won't be able to see the show the same.

And that's where the absurd genius of the creator Hajime Isayama comes into play. As much as I love the Vince Gilligan's of the world, David Chase, Peter Gould, Jesse Armstrong, David Simon and honestly any writer of any piece of fiction... no one comes close to the creativity that this man has. Isayama is able to create this large world in these small walls surrounded by humanoid creatures that live to destroy and ruin the human race. But as you continue to watch the show, it's like you're peeling an endless onion that doesn't stop, and constantly makes your eyes water and tear up due to the brutality and the absurdity that this universe subjects you to. It will boggle your mind then tear you to shreds in ways that I've never seen before.

The plot twists are second to none. The heartbreak will shatter you to pieces. The betrayals will leave you speechless. The world building will make everything before seem small. And the clashes of different ideals will leave you wondering how you could even pick a side. I could go on all day but to put it simply, the unique story in itself is what brings this all together. And that's not even mentioning things like the voice acting, music, animation, esc. Which are all top tier.

This isn't an anime. This isn't a TV show. This is a fictional masterpiece. And I'm honored and blessed to say that I got to live to see the day where I'd witness the end of it. Thank you, Hajime Isayama. And see you later, AOT.",755,50,"Nov 5, 2023"
10,Masterpiece. I've never witnessed this level of care for every detail.,"The moment you watch this audiovisual masterpiece you will immediately appreciate the level of thought and detail that went into this. From the initial scene that shows you the main and unique weapons to some of the frames that could literally be used as your desktop background or be hanged in your room as paintings. From episode to episode you'll think that you won't be surprised anymore and you'll be wrong again and again, every time I thought an episode or season couldn't be better I was proven wrong. You will get goos bumps from dialog alone and you will lose your mind in the epic fight scenes The characters and their development, the story covered in mystery that unveils beautifully, a dialog carefully written that shows the characters personalities and wisdom., sound design, music, illumination... you'll feel like you are there. The voicing of the characters is excellent... there is nothing below excellent in this. An absolute masterpiece and a bar of quality for any audio visual product to come. Be prepared to care only about Attack on Titan and nothing else, because nothing else will make you feel this way.",1.7K,136,"Jun 19, 2019"
10,Nearly perfect,"Before I started watching this show, I couldn't imagine why it is rated so high. After I finished the first season, I understood. And now, having watched the third season I don't understand, why it isn't rated even higher!

Truly a masterpiece, and deserves to be mentioned on the same page as other fantasy war epics like Lord of the Rings and Game of Thrones. (I dare to say this is even better than those two.) There are countless twist and turns, shocking revelations and heartbreaking moments troughout the series, spiced with great voice acting, beautiful visuals and on top of all: a more than perfect, stunning soundtrack, thanks to Hiroyuki Sawano.

The story is brilliantly written, and does not slow down, not even for a bit. It keeps growing bigger and bigger, while you will find yourself tied to your chair, as you can't watch only one or two episodes. Behind the plot and the action, there is also deeper meaning about war, humanity and questions about moral dilemmas.

Toughtprovoking, exciting and most of all a masterpiece of our time!",1.2K,107,"Dec 17, 2019"
10,My experience as a 42yrs. Old....,"Growing up in the 80's 90's during the time of top anime stories and always getting into arguments with my friends and my son that those were the golden anime era and now I have to admit. This is if not the best story telling I witness in all my years. This show raise the bars with each episode, with unpredictable twist and turns you won't see coming. After completing season 4 mid season finally I must say I'm happy to be alive witnessing a master peace in the making. Can't wait for the finally!",453,50,"Sep 2, 2021"
10,Well deserved to be alongside other greatest TV series ever created,"I'm a more frequent American TV shows watcher than Anime watcher. I have been watching multiple great TV shows in the past 10 years: Breaking Bad, Game of Thrones, Lost, Westworld, The Boys, Dark, House of Cards, Sherlock etc. - just to name a few. Attack on Titan caught my attention one day after I checked the top 250 TV shows on IMDB and saw multiple 10/10 featured reviews from other people, especially considering that it's an anime that is ranked very high on the list.

Hence, I came to AoT with high expectation and after watching it, I'm surprised that it only gets a 9/10. This show is definitely not inferior to Game of Thrones or Breaking Bad, though I understand that being an animated, foreign show means that it has to try much harder to prove its worth.

I find AoT to be almost perfect, and I don't think it's realistic to expect any shows to be perfect. After all, these pieces of arts are all created by human being and we are imperfect! What other reviewers said about AoT is absolutely true: AoT has incredible storytelling, world building, plot twist, foreshadowing, character development and excellent soundtracks. On top of that, I trust the hype also comes from the fact that this show builds such a strongly immersive world for viewers where one can feel being part of its world and understanding the characters' motives and actions. This exerts a strong impact on our feelings and the theme itself is so thought-provoking, which is not something a lot of shows could do. And trust me, I believe I watched enough good series and movies so as not to be easily impressed. On a side note, I don't find the lowest ratings for AoT justified, but rather superficial. Among the lowest reviews I've seen so far on IMDB, none has truly given a critical analysis of why the show is objectively bad - it's either coming from pure haters, those who are too impatient to watch the story in full or those who just don't want to understand the series because of existing bias. Also, any comments saying that AoT is predictable and cliché is the same as saying GoT is predictable too 😊.

The show keeps getting better and better after each season with lots of jaw-dropping twists. As such, I do respect its consistently high quality after 10 years since its first episode and after seeing multiple great TV series starting off well and had degrading quality after a few seasons. There is only 1 episode left and the show so far has only raised the bar after each episode. I know about the ending through the manga and I find it absolutely satisfying. It's considered to be a controversial ending where the fandom is splitted. But I think that's the beauty of this series - it's more real than a live-action show and it correctly depicts the actual world. There is no boundary of good or bad, right or wrong - it's all about perspective.

All in all, a phenomenal journey that I'm utterly grateful to embark on. An absolute 10/10 for this masterpiece - a pity that 10 is all there is to rate.",188,18,"Mar 28, 2023"
10,Greatest Anime,"Review By Kamal K

Story 10/10

It continunes few days after where we left off last season and it focuses more on political drama and dilemmas inside the walls. This season gets straight to the point and introduces new villain named Kenny that turns out to be somehow related to Levi. There are many parties trying to get Eren and Historia. For what reason? It is yet to be reveald. Mystery we all feel in love with is still there and there are even more questions, but don't let that distract you from the fact that this season ,even tho is only few episodes in, already has some major reveals in it. Pacing is amazing and i wasn't bored for a moment while watching. Things are only getting more interesting when Erwin reveals how he's planning to ovethrow the governmant without using the force. This season has a very refreshing and different plot compared to previous ones as we can see from the lack of titans and focuse on the issues inside the walls rather than beyond. However it's still as, if not more interesting than before. There is world buidling,mystery,back stabbing and some major questions answered which there is hopfully more to come.

Animation 10/10

As we can see characters in this season look a little bit different or older which some might not like but i do personally. It's a fresh change. They look closer to their manga designes. Some might notice that they removed those thick black lines around characters faces which made AOT art stand out even more. Don't get me wrong, it still does but that was something that was missing which kept me from giving it 10/10. Animation is brilliant for this season (it's Attack on Titan after all :D) and like every season it only got better. . Perfect combination between 3D background and 2D animation along with masterfull camera movement made this scene look like a movie. There is even one frame where levi is facing the wall and you can see his reflection in the window. Just goes to show how much detail and time was put in to this scene. After i done some research i found out that it took the animator of this scene 1 whole month to complete it. Just that one scene alone. All props to Arifumi Imai. Great job. Hopfully it keeps this quality because this season is said to be 24 episodes long.

Sound 10/10

I mean, is there anything to say? AoT is notorious for it's amazing OST and sound quality. Voice actors are great as always and the sound that stand out to me the most was the sound of falling shell from kenny on the roof in ep.1. It was just so satisfying :D. And again mad props to Hiroyuki Sawano (the composer) for the epic and emotional music.

Characters 10/10

What i like about AoT characters is the fact that they interact so naturally and nothing from their conversation seems forced which is immediately showcased in the very first scene in ep. 1. That cabin scene where jean and eren argue,sasha tries to steal bread, mikasa still does work even tho she's injured and armin cares for her deeply. And of course Levi the clean freak comes in at the end :p They are such fun and lively characters. This season already had some major development for our cast. We got to see Erwin's and Hisotira's backstories which also delved deeper in their characters motives. Both backstories were heartbreaking and made me care a lot more for them. Hisotira is slowly taking of her ""Christa Lenz"" facade (is that how you say it? lol) and Erwin is proving again and again why everyone loves him and would follow him to death. His childhood story is very similar to how our society and governmant wokrs today which is very scary. And we all need to remember that isayama is criticizing this type of government and society with these topics. Instead of just walking of Erwin comes back to Dimo Rivees's wife and comforts her saying he'll avange him. Erwin is charismatic,great leader, intellignet and someone that you just want to follow. Since the young age he was corious and as he call himself a ""gambler"". He is someone that would give everything for the humanity. Or is he? I think there is a lot more to his character. Hange got some development too. Eren is maturing and seems a lot more chill this season but unfortunately he is kiddnaped again :( Poor guy he just can't catch a break. In ep.1 he helps historia to overcome here pain and shows again just how honest he is by telling her ""I like you more this way, just a stupidly normal honest girl"". Also hugeee development for armin. To think that he would be capable of killing a human.. this will deffinitely have a huge impact on his character in the future. The way he selfreflects and his philosohpical speach about morals is great, it really makes you think. He kinda has a point too. He shows one more time how mentally strong he is even tho he lacks physicial strength. This time is just on another level. Now lets talk about our new villain. KENYYYYYYYYYYY. I love this guy lol. The way he roasts and insults levi and the cowboy vibe he gives. I love it. He immediately showcases that he is not a joke by blowing nifa's head off just like that. He also seems very mysterious. The way he treats levi is almost as if he looks down upon him. Speaking of Levi here is what i think: That chase scene where he's running away from kenny is not just a great action sequence it also represents Levi running from his past. Kenny=His past. Running from kenny or his past. This arc is also big development and challange for him now that he has to act as a leader/commander because erwin is absent or busy. There was also some smaller developments for connie (motivating himself to take on the beast titan),jean (struggling to remain human which almost costs him life, also selfreflecting), sanes (showing how he didn't want to do the things that he has done and over the time he just got used to it, also he was kinda easy to symphatise with too and his devotion to king is may be morally wrong but aslo admirable, the way he feels destroyed after finding out that he was actually the one that betrayed the king is also worth mentioning), flegel (stepping up becoming a boss saying how he'll protect the people of his city), zachary (showcasing that he cares more about himself rather than humanity and how he always hated the governmant because they looked up on everyone).

Enjoyment 10/10

I never enjoyed AoT more. It's great.This season has perfect balance between story telling, character development and action.

Overall 10/10",783,115,"Aug 25, 2020"
10,Shinzou wo sasageyo! Devote your heart!,"I'm not an expert of anime. I haven't even read the manga, which I'll do it btw. But I can assure you that attack on titan will keep you interested from the very beginning thanks to a gripping and original plot. There isn't a single boring episode, it's always suspance and action. It may seem a superficial fantasy anime but it actually deals with important topics, such as freedom. Furthermore, the soundtracks are so good that you will start feeling patriotism for an imaginary country.",456,63,"Jun 8, 2019"
10,A historic anime,"Incredible, I honestly have to say that this could be the best anime ever due to its development and plot. Shingeki No Kyojin has one of the best character developments and plot in history (note that this series does not have fill), he even the secondary and third characters have a great importance in the story, but also has that sense of terror, action and drama that by the way is incredibly well done, makes you live the situation that the characters go through and transmit their emotions to you in a very human way. It has an excellent background story that is simply memorable.

Every decision they make is of minor importance to the series and should not be missed, their deaths and the surprise of knowing who are the real antagonists add a magical touch

The first season has a slight start, it ends up being a spectacular season, it is not the best but it is an amazing season with an incredible animation and plot, here you will be introduced to the first antagonist of the series. 9.4/10

The second season I think was epic, this is when you start to see the faces of the real villains (get ready for Senshi Tmp 2 Ep 6 which according to me is the best of the second season, an overwhelming chapter) Shingeki no Kyojin explains it to you perfectly without leaving gaps in the plot, an incredible season. 9.6/10

The third season is truly phenomenal, has a good start and lets you know the problems you will have in a society by not agreeing with something or the difficult decisions you must make to ensure your survival. After this, too many things are clarified without detours, the chapters that stood out most were Perfect Game (Tmp 3, Ep 16), Hero (Tmp 3, Ep 17), Midnight Sun (Tmp 3, Ep 18) and That Day (Tmp 3, Ep 20) (That day has no action or features our main characters, but this chapter amazes me, its development is spectacular and the way they explain everything is overwhelming, honestly, the best development chapter in the history of anime). 9.8/10

Season four is the start of the finale. A season practically perfect, in this season everything comes to light answering every question of the viewer, leaves no gaps in the plot and has a beautiful animation, besides that is incredibly shocking and demonstrates the incredible development in our protagonists, Eren has the best character development I think. For me the best chapters were in my opinion Declaration of War (Tmp 4, Ep 5) (Declaration of War is one of the most impactful chapters of development), The War Hammer Titan (Tmp 4, Ep 6), Assault (Tmp 4, Ep 7), Assassin's Bullet (Tmp 4, Ep 7) (Assassin's Bullet left me speechless...) and Above and Below (Tmp 4, Ep 16), has not yet finished this season, but still for me it is spectacular. 9.9/ 10 This season is the best.

In my opinion your average would be 9.3/10. Sincerely from my point of view, the best anime ever, a work of art from post-apocalyptic fiction.",366,49,"Sep 6, 2021"
10,Genuinely the greatest show I have ever seen,"*NO SPOILERS IN MY REVIEW*

I can't put into words the emotions I felt when watching this show over the course of two months. It honestly completely took over my entire life and personality, and it was all I could think about...

There's never been a show with as many plot twists as this, as deep of emotional connections to the characters through the screen as this, or written greatness as this.

But know that every single detail should not go unnoticed. Every single word that the characters say. EVERYTHING is foreshadowing, and the circular storytelling is revolutionary like no other.

Hands down, this is the most incredible show with incredible characters, storytelling, and attention to detail. Do yourself a favor and immerse yourself in this story.",21,0,"Nov 26, 2024"
10,Give your hearts !,Attack On Titan makes it hard for me to enjoy watching other Animes 😂,197,24,"Jun 3, 2019"
