Date,Open,High,Low,Close,Volume
3/1/2023 16:00:00,875,890,860,885,20995000
3/2/2023 16:00:00,880,915,870,910,67443300
3/3/2023 16:00:00,910,915,890,895,39836700
3/6/2023 16:00:00,895,900,885,900,25602600
3/7/2023 16:00:00,900,910,895,900,20250200
3/8/2023 16:00:00,895,895,880,885,13604300
3/9/2023 16:00:00,890,900,880,885,7390300
3/10/2023 16:00:00,885,900,855,900,11531500
3/13/2023 16:00:00,890,890,845,845,30837000
3/14/2023 16:00:00,855,875,830,835,26465600
3/15/2023 16:00:00,840,855,840,850,17568800
3/16/2023 16:00:00,850,850,815,835,17113900
3/17/2023 16:00:00,835,845,825,825,22268800
3/20/2023 16:00:00,825,830,820,820,15289000
3/21/2023 16:00:00,825,835,820,825,4071800
3/24/2023 16:00:00,825,865,825,845,26733600
3/27/2023 16:00:00,845,865,845,855,13141300
3/28/2023 16:00:00,860,875,855,865,10905700
3/29/2023 16:00:00,865,875,860,860,12914700
3/30/2023 16:00:00,860,865,840,840,13162300
3/31/2023 16:00:00,845,870,845,870,21936800
4/3/2023 16:00:00,870,875,855,860,9842800
4/4/2023 16:00:00,860,865,840,845,18031600
4/5/2023 16:00:00,845,855,835,835,13814200
4/6/2023 16:00:00,835,845,820,830,33250600
4/10/2023 16:00:00,825,825,800,805,20595300
4/11/2023 16:00:00,810,840,810,825,14218600
4/12/2023 16:00:00,830,835,815,815,15947400
4/13/2023 16:00:00,815,830,810,815,12392100
4/14/2023 16:00:00,815,825,810,810,10527500
4/17/2023 16:00:00,810,820,805,820,7170500
4/18/2023 16:00:00,815,815,800,800,15031000
4/26/2023 16:00:00,805,820,800,820,15551400
4/27/2023 16:00:00,820,820,800,800,14255800
4/28/2023 16:00:00,800,800,780,790,31918800
5/2/2023 16:00:00,785,800,780,795,19844300
5/3/2023 16:00:00,795,810,790,805,21604800
5/4/2023 16:00:00,805,815,800,810,20635300
5/5/2023 16:00:00,810,815,795,800,13562400
5/8/2023 16:00:00,800,810,790,805,17847800
5/9/2023 16:00:00,805,805,795,800,18328100
5/10/2023 16:00:00,800,805,770,775,37593900
5/11/2023 16:00:00,775,775,755,775,19482700
5/12/2023 16:00:00,775,785,765,775,22209000
5/15/2023 16:00:00,775,785,765,775,8562600
5/16/2023 16:00:00,775,780,765,770,5839100
5/17/2023 16:00:00,770,775,765,770,6505900
5/19/2023 16:00:00,770,770,760,765,9672000
5/22/2023 16:00:00,765,780,760,760,17295000
5/23/2023 16:00:00,765,775,760,770,21970000
5/24/2023 16:00:00,775,780,770,780,14951400
5/25/2023 16:00:00,780,780,770,775,10686300
5/26/2023 16:00:00,775,780,760,765,14505900
5/29/2023 16:00:00,765,770,755,765,10358900
5/30/2023 16:00:00,765,770,760,760,5444700
5/31/2023 16:00:00,760,765,725,725,75580500
6/5/2023 16:00:00,725,740,710,720,56893700
6/6/2023 16:00:00,720,755,720,750,41520700
6/7/2023 16:00:00,755,755,730,735,23212100
6/8/2023 16:00:00,740,755,740,755,13853600
6/9/2023 16:00:00,755,765,740,765,16034400
6/12/2023 16:00:00,765,770,745,765,19108900
6/13/2023 16:00:00,765,765,750,760,14638100
6/14/2023 16:00:00,755,760,750,760,13761200
6/15/2023 16:00:00,760,760,745,745,16198600
6/16/2023 16:00:00,745,750,725,735,27334300
6/19/2023 16:00:00,735,740,720,730,22621600
6/20/2023 16:00:00,730,740,725,730,14019400
6/21/2023 16:00:00,730,740,720,720,13634100
6/22/2023 16:00:00,725,735,720,725,18735300
6/23/2023 16:00:00,725,740,725,735,13373700
6/26/2023 16:00:00,735,740,725,730,17621200
6/27/2023 16:00:00,730,745,730,730,20236400
7/3/2023 16:00:00,730,740,720,725,19893600
7/4/2023 16:00:00,725,730,720,725,26122100
7/5/2023 16:00:00,725,730,720,720,21028400
7/6/2023 16:00:00,725,735,720,730,23614800
7/7/2023 16:00:00,730,735,725,730,9987200
7/10/2023 16:00:00,730,735,730,730,6987400
7/11/2023 16:00:00,735,755,730,745,32188100
7/12/2023 16:00:00,745,755,740,745,20900500
7/13/2023 16:00:00,745,750,720,725,52633300
7/14/2023 16:00:00,725,730,715,720,55430900
7/17/2023 16:00:00,725,735,720,720,66123400
7/18/2023 16:00:00,725,730,710,715,47291900
7/20/2023 16:00:00,715,720,685,690,119083600
7/21/2023 16:00:00,690,700,690,700,48824300
7/24/2023 16:00:00,700,700,695,700,30279200
7/25/2023 16:00:00,700,700,690,695,29800800
7/26/2023 16:00:00,695,700,680,685,66230200
7/27/2023 16:00:00,685,685,650,650,186532600
7/28/2023 16:00:00,650,650,635,640,69263400
7/31/2023 16:00:00,640,660,635,640,81999200
8/1/2023 16:00:00,640,655,640,640,40438300
8/2/2023 16:00:00,640,645,610,615,84090500
8/3/2023 16:00:00,615,650,615,640,54992300
8/4/2023 16:00:00,640,655,635,640,28148500
8/7/2023 16:00:00,645,655,640,650,31147200
8/8/2023 16:00:00,650,660,650,655,25307200
8/9/2023 16:00:00,655,655,640,640,24655000
8/10/2023 16:00:00,640,650,640,640,13968400
8/11/2023 16:00:00,640,650,640,640,13974500
8/14/2023 16:00:00,640,650,640,645,13679100
8/15/2023 16:00:00,645,655,640,645,20832100
8/16/2023 16:00:00,645,650,640,640,11398100
8/18/2023 16:00:00,640,655,640,650,29147600
8/21/2023 16:00:00,650,655,645,645,15950700
8/22/2023 16:00:00,645,655,645,650,23657000
8/23/2023 16:00:00,650,655,645,650,29985900
8/24/2023 16:00:00,650,655,635,635,33755500
8/25/2023 16:00:00,635,645,635,640,18083400
8/28/2023 16:00:00,640,645,635,640,12463600
8/29/2023 16:00:00,640,645,630,635,31237300
8/30/2023 16:00:00,635,635,620,620,64076900
8/31/2023 16:00:00,625,625,615,620,32031100
9/1/2023 16:00:00,620,625,610,615,37858700
9/4/2023 16:00:00,620,630,615,615,39072100
9/5/2023 16:00:00,615,620,610,615,30981600
9/6/2023 16:00:00,615,625,615,620,66975100
9/7/2023 16:00:00,620,625,615,620,51469500
9/8/2023 16:00:00,620,620,600,600,78325700
9/11/2023 16:00:00,600,615,600,605,28563700
9/12/2023 16:00:00,605,615,605,610,22095900
9/13/2023 16:00:00,610,610,600,605,29566100
9/14/2023 16:00:00,605,610,600,605,9603700
9/15/2023 16:00:00,605,610,590,590,49668300
9/18/2023 16:00:00,590,600,590,595,14914100
9/19/2023 16:00:00,590,595,585,590,19724200
9/20/2023 16:00:00,590,590,580,585,36127200
9/21/2023 16:00:00,585,595,580,590,29357100
9/22/2023 16:00:00,590,610,585,600,52308600
9/25/2023 16:00:00,600,610,595,595,22359700
9/26/2023 16:00:00,600,600,590,590,13941000
9/27/2023 16:00:00,590,595,580,585,23564600
9/29/2023 16:00:00,585,595,580,590,16089400
10/2/2023 16:00:00,590,590,580,585,42496300
10/3/2023 16:00:00,585,590,585,585,15224000
10/4/2023 16:00:00,585,590,560,560,54677500
10/5/2023 16:00:00,565,615,565,605,72707700
10/6/2023 16:00:00,605,610,580,595,53244700
10/9/2023 16:00:00,595,605,590,590,22785200
10/10/2023 16:00:00,595,600,585,590,13795200
10/11/2023 16:00:00,590,595,580,585,15888300
10/12/2023 16:00:00,585,600,585,590,9768400
10/13/2023 16:00:00,590,595,575,580,27993300
10/16/2023 16:00:00,580,590,570,575,25351300
10/17/2023 16:00:00,575,585,575,580,6504200
10/18/2023 16:00:00,580,585,575,580,6293000
10/19/2023 16:00:00,580,580,570,570,19078300
10/20/2023 16:00:00,570,575,560,575,12806900
10/23/2023 16:00:00,575,575,565,570,12346700
10/24/2023 16:00:00,575,590,570,590,20479500
10/25/2023 16:00:00,590,600,590,590,15826800
10/26/2023 16:00:00,590,590,575,575,15906100
10/27/2023 16:00:00,575,585,565,575,16551400
10/30/2023 16:00:00,575,580,510,515,144483600
10/31/2023 16:00:00,515,520,505,510,41672200
11/1/2023 16:00:00,505,505,484,486,56579000
11/2/2023 16:00:00,486,505,486,492,41008300
11/3/2023 16:00:00,494,500,478,496,42284000
11/6/2023 16:00:00,496,505,496,500,41505400
11/7/2023 16:00:00,505,505,496,496,15302500
